"region"	"alder"	"kjønn"	"Personer 2023"
"K-3101 Halden"	"34 år"	"Menn"	184
"K-3101 Halden"	"34 år"	"Kvinner"	204
"K-3101 Halden"	"35 år"	"Menn"	189
"K-3101 Halden"	"35 år"	"Kvinner"	177
"K-3101 Halden"	"36 år"	"Menn"	194
"K-3101 Halden"	"36 år"	"Kvinner"	203
"K-3101 Halden"	"37 år"	"Menn"	200
"K-3101 Halden"	"37 år"	"Kvinner"	176
"K-3101 Halden"	"38 år"	"Menn"	196
"K-3101 Halden"	"38 år"	"Kvinner"	213
"K-3101 Halden"	"39 år"	"Menn"	174
"K-3101 Halden"	"39 år"	"Kvinner"	163
"K-3101 Halden"	"40 år"	"Menn"	178
"K-3101 Halden"	"40 år"	"Kvinner"	189
"K-3101 Halden"	"41 år"	"Menn"	164
"K-3101 Halden"	"41 år"	"Kvinner"	198
"K-3101 Halden"	"42 år"	"Menn"	196
"K-3101 Halden"	"42 år"	"Kvinner"	198
"K-3101 Halden"	"43 år"	"Menn"	201
"K-3101 Halden"	"43 år"	"Kvinner"	193
"K-3101 Halden"	"44 år"	"Menn"	220
"K-3101 Halden"	"44 år"	"Kvinner"	188
"K-3101 Halden"	"45 år"	"Menn"	202
"K-3101 Halden"	"45 år"	"Kvinner"	203
"K-3101 Halden"	"46 år"	"Menn"	222
"K-3101 Halden"	"46 år"	"Kvinner"	183
"K-3101 Halden"	"47 år"	"Menn"	186
"K-3101 Halden"	"47 år"	"Kvinner"	210
"K-3101 Halden"	"48 år"	"Menn"	196
"K-3101 Halden"	"48 år"	"Kvinner"	226
"K-3101 Halden"	"49 år"	"Menn"	217
"K-3101 Halden"	"49 år"	"Kvinner"	211
"K-3101 Halden"	"50 år"	"Menn"	217
"K-3101 Halden"	"50 år"	"Kvinner"	241
"K-3101 Halden"	"51 år"	"Menn"	236
"K-3101 Halden"	"51 år"	"Kvinner"	211
"K-3101 Halden"	"52 år"	"Menn"	226
"K-3101 Halden"	"52 år"	"Kvinner"	216
"K-3101 Halden"	"53 år"	"Menn"	218
"K-3101 Halden"	"53 år"	"Kvinner"	217
"K-3101 Halden"	"54 år"	"Menn"	249
"K-3101 Halden"	"54 år"	"Kvinner"	257
"K-3101 Halden"	"55 år"	"Menn"	238
"K-3101 Halden"	"55 år"	"Kvinner"	225
"K-3101 Halden"	"56 år"	"Menn"	233
"K-3101 Halden"	"56 år"	"Kvinner"	225
"K-3101 Halden"	"57 år"	"Menn"	250
"K-3101 Halden"	"57 år"	"Kvinner"	232
"K-3101 Halden"	"58 år"	"Menn"	207
"K-3101 Halden"	"58 år"	"Kvinner"	200
"K-3101 Halden"	"59 år"	"Menn"	212
"K-3101 Halden"	"59 år"	"Kvinner"	210
"K-3101 Halden"	"60 år"	"Menn"	223
"K-3101 Halden"	"60 år"	"Kvinner"	195
"K-3101 Halden"	"61 år"	"Menn"	214
"K-3101 Halden"	"61 år"	"Kvinner"	190
"K-3101 Halden"	"62 år"	"Menn"	199
"K-3101 Halden"	"62 år"	"Kvinner"	214
"K-3101 Halden"	"63 år"	"Menn"	188
"K-3101 Halden"	"63 år"	"Kvinner"	211
"K-3101 Halden"	"64 år"	"Menn"	199
"K-3101 Halden"	"64 år"	"Kvinner"	201
"K-3101 Halden"	"65 år"	"Menn"	185
"K-3101 Halden"	"65 år"	"Kvinner"	190
"K-3101 Halden"	"66 år"	"Menn"	218
"K-3101 Halden"	"66 år"	"Kvinner"	173
"K-3101 Halden"	"67 år"	"Menn"	185
"K-3101 Halden"	"67 år"	"Kvinner"	206
"K-3101 Halden"	"68 år"	"Menn"	189
"K-3101 Halden"	"68 år"	"Kvinner"	174
"K-3101 Halden"	"69 år"	"Menn"	204
"K-3101 Halden"	"69 år"	"Kvinner"	198
"K-3101 Halden"	"70 år"	"Menn"	161
"K-3101 Halden"	"70 år"	"Kvinner"	147
"K-3101 Halden"	"71 år"	"Menn"	169
"K-3101 Halden"	"71 år"	"Kvinner"	184
"K-3101 Halden"	"72 år"	"Menn"	168
"K-3101 Halden"	"72 år"	"Kvinner"	189
"K-3101 Halden"	"73 år"	"Menn"	182
"K-3101 Halden"	"73 år"	"Kvinner"	171
"K-3101 Halden"	"74 år"	"Menn"	176
"K-3101 Halden"	"74 år"	"Kvinner"	172
"K-3101 Halden"	"75 år"	"Menn"	192
"K-3101 Halden"	"75 år"	"Kvinner"	203
"K-3101 Halden"	"76 år"	"Menn"	186
"K-3101 Halden"	"76 år"	"Kvinner"	195
"K-3101 Halden"	"77 år"	"Menn"	124
"K-3101 Halden"	"77 år"	"Kvinner"	184
"K-3101 Halden"	"78 år"	"Menn"	141
"K-3101 Halden"	"78 år"	"Kvinner"	130
"K-3101 Halden"	"79 år"	"Menn"	105
"K-3101 Halden"	"79 år"	"Kvinner"	121
"K-3101 Halden"	"80 år"	"Menn"	91
"K-3101 Halden"	"80 år"	"Kvinner"	96
"K-3101 Halden"	"81 år"	"Menn"	66
"K-3101 Halden"	"81 år"	"Kvinner"	110
"K-3101 Halden"	"82 år"	"Menn"	68
"K-3101 Halden"	"82 år"	"Kvinner"	101
"K-3101 Halden"	"83 år"	"Menn"	69
"K-3101 Halden"	"83 år"	"Kvinner"	90
"K-3101 Halden"	"84 år"	"Menn"	55
"K-3101 Halden"	"84 år"	"Kvinner"	72
"K-3101 Halden"	"85 år"	"Menn"	45
"K-3101 Halden"	"85 år"	"Kvinner"	65
"K-3101 Halden"	"86 år"	"Menn"	48
"K-3101 Halden"	"86 år"	"Kvinner"	59
"K-3101 Halden"	"87 år"	"Menn"	38
"K-3101 Halden"	"87 år"	"Kvinner"	65
"K-3101 Halden"	"88 år"	"Menn"	26
"K-3101 Halden"	"88 år"	"Kvinner"	54
"K-3101 Halden"	"89 år"	"Menn"	36
"K-3101 Halden"	"89 år"	"Kvinner"	37
"K-3101 Halden"	"90 år"	"Menn"	24
"K-3101 Halden"	"90 år"	"Kvinner"	48
"K-3101 Halden"	"91 år"	"Menn"	16
"K-3101 Halden"	"91 år"	"Kvinner"	53
"K-3101 Halden"	"92 år"	"Menn"	16
"K-3101 Halden"	"92 år"	"Kvinner"	28
"K-3101 Halden"	"93 år"	"Menn"	11
"K-3101 Halden"	"93 år"	"Kvinner"	21
"K-3101 Halden"	"94 år"	"Menn"	5
"K-3101 Halden"	"94 år"	"Kvinner"	21
"K-3101 Halden"	"95 år"	"Menn"	9
"K-3101 Halden"	"95 år"	"Kvinner"	12
"K-3101 Halden"	"96 år"	"Menn"	7
"K-3101 Halden"	"96 år"	"Kvinner"	17
"K-3101 Halden"	"97 år"	"Menn"	5
"K-3101 Halden"	"97 år"	"Kvinner"	8
"K-3101 Halden"	"98 år"	"Menn"	0
"K-3101 Halden"	"98 år"	"Kvinner"	5
"K-3101 Halden"	"99 år"	"Menn"	0
"K-3101 Halden"	"99 år"	"Kvinner"	4
"K-3101 Halden"	"100 år"	"Menn"	3
"K-3101 Halden"	"100 år"	"Kvinner"	3
"K-3101 Halden"	"101 år"	"Menn"	0
"K-3101 Halden"	"101 år"	"Kvinner"	4
"K-3101 Halden"	"102 år"	"Menn"	0
"K-3101 Halden"	"102 år"	"Kvinner"	0
"K-3101 Halden"	"103 år"	"Menn"	0
"K-3101 Halden"	"103 år"	"Kvinner"	0
"K-3101 Halden"	"104 år"	"Menn"	0
"K-3101 Halden"	"104 år"	"Kvinner"	1
"K-3101 Halden"	"105 år eller eldre"	"Menn"	0
"K-3101 Halden"	"105 år eller eldre"	"Kvinner"	0
"K-3103 Moss"	"0 år"	"Menn"	225
"K-3103 Moss"	"0 år"	"Kvinner"	227
"K-3103 Moss"	"1 år"	"Menn"	236
"K-3103 Moss"	"1 år"	"Kvinner"	234
"K-3103 Moss"	"2 år"	"Menn"	240
"K-3103 Moss"	"2 år"	"Kvinner"	222
"K-3103 Moss"	"3 år"	"Menn"	260
"K-3103 Moss"	"3 år"	"Kvinner"	232
"K-3103 Moss"	"4 år"	"Menn"	235
"K-3103 Moss"	"4 år"	"Kvinner"	237
"K-3103 Moss"	"5 år"	"Menn"	259
"K-3103 Moss"	"5 år"	"Kvinner"	248
"K-3103 Moss"	"6 år"	"Menn"	260
"K-3103 Moss"	"6 år"	"Kvinner"	251
"K-3103 Moss"	"7 år"	"Menn"	307
"K-3103 Moss"	"7 år"	"Kvinner"	261
"K-3103 Moss"	"8 år"	"Menn"	279
"K-3103 Moss"	"8 år"	"Kvinner"	253
"K-3103 Moss"	"9 år"	"Menn"	274
"K-3103 Moss"	"9 år"	"Kvinner"	280
"K-3103 Moss"	"10 år"	"Menn"	274
"K-3103 Moss"	"10 år"	"Kvinner"	289
"K-3103 Moss"	"11 år"	"Menn"	304
"K-3103 Moss"	"11 år"	"Kvinner"	290
"K-3103 Moss"	"12 år"	"Menn"	295
"K-3103 Moss"	"12 år"	"Kvinner"	301
"K-3103 Moss"	"13 år"	"Menn"	321
"K-3103 Moss"	"13 år"	"Kvinner"	333
"K-3103 Moss"	"14 år"	"Menn"	300
"K-3103 Moss"	"14 år"	"Kvinner"	307
"K-3103 Moss"	"15 år"	"Menn"	337
"K-3103 Moss"	"15 år"	"Kvinner"	271
"K-3103 Moss"	"16 år"	"Menn"	338
"K-3103 Moss"	"16 år"	"Kvinner"	313
"K-3103 Moss"	"17 år"	"Menn"	310
"K-3103 Moss"	"17 år"	"Kvinner"	281
"K-3103 Moss"	"18 år"	"Menn"	323
"K-3103 Moss"	"18 år"	"Kvinner"	321
"K-3103 Moss"	"19 år"	"Menn"	306
"K-3103 Moss"	"19 år"	"Kvinner"	256
"K-3103 Moss"	"20 år"	"Menn"	314
"K-3103 Moss"	"20 år"	"Kvinner"	273
"K-3103 Moss"	"21 år"	"Menn"	303
"K-3103 Moss"	"21 år"	"Kvinner"	222
"K-3103 Moss"	"22 år"	"Menn"	293
"K-3103 Moss"	"22 år"	"Kvinner"	255
"K-3103 Moss"	"23 år"	"Menn"	301
"K-3103 Moss"	"23 år"	"Kvinner"	241
"K-3103 Moss"	"24 år"	"Menn"	275
"K-3103 Moss"	"24 år"	"Kvinner"	253
"K-3103 Moss"	"25 år"	"Menn"	288
"K-3103 Moss"	"25 år"	"Kvinner"	258
"K-3103 Moss"	"26 år"	"Menn"	297
"K-3103 Moss"	"26 år"	"Kvinner"	261
"K-3103 Moss"	"27 år"	"Menn"	295
"K-3103 Moss"	"27 år"	"Kvinner"	262
"K-3103 Moss"	"28 år"	"Menn"	292
"K-3103 Moss"	"28 år"	"Kvinner"	302
"K-3103 Moss"	"29 år"	"Menn"	334
"K-3103 Moss"	"29 år"	"Kvinner"	294
"K-3103 Moss"	"30 år"	"Menn"	325
"K-3103 Moss"	"30 år"	"Kvinner"	286
"K-3103 Moss"	"31 år"	"Menn"	298
"K-3103 Moss"	"31 år"	"Kvinner"	314
"K-3103 Moss"	"32 år"	"Menn"	336
"K-3103 Moss"	"32 år"	"Kvinner"	295
"K-3103 Moss"	"33 år"	"Menn"	326
"K-3103 Moss"	"33 år"	"Kvinner"	289
"K-3103 Moss"	"34 år"	"Menn"	323
"K-3103 Moss"	"34 år"	"Kvinner"	327
"K-3103 Moss"	"35 år"	"Menn"	351
"K-3103 Moss"	"35 år"	"Kvinner"	343
"K-3103 Moss"	"36 år"	"Menn"	325
"K-3103 Moss"	"36 år"	"Kvinner"	298
"K-3103 Moss"	"37 år"	"Menn"	323
"K-3103 Moss"	"37 år"	"Kvinner"	301
"K-3103 Moss"	"38 år"	"Menn"	295
"K-3103 Moss"	"38 år"	"Kvinner"	307
"K-3103 Moss"	"39 år"	"Menn"	319
"K-3103 Moss"	"39 år"	"Kvinner"	318
"K-3103 Moss"	"40 år"	"Menn"	294
"K-3103 Moss"	"40 år"	"Kvinner"	300
"K-3103 Moss"	"41 år"	"Menn"	314
"K-3103 Moss"	"41 år"	"Kvinner"	317
"K-3103 Moss"	"42 år"	"Menn"	358
"K-3103 Moss"	"42 år"	"Kvinner"	339
"K-3103 Moss"	"43 år"	"Menn"	315
"K-3103 Moss"	"43 år"	"Kvinner"	321
"K-3103 Moss"	"44 år"	"Menn"	310
"K-3103 Moss"	"44 år"	"Kvinner"	357
"K-3103 Moss"	"45 år"	"Menn"	313
"K-3103 Moss"	"45 år"	"Kvinner"	332
"K-3103 Moss"	"46 år"	"Menn"	342
"K-3103 Moss"	"46 år"	"Kvinner"	306
"K-3103 Moss"	"47 år"	"Menn"	368
"K-3103 Moss"	"47 år"	"Kvinner"	351
"K-3103 Moss"	"48 år"	"Menn"	390
"K-3103 Moss"	"48 år"	"Kvinner"	361
"K-3103 Moss"	"49 år"	"Menn"	352
"K-3103 Moss"	"49 år"	"Kvinner"	369
"K-3103 Moss"	"50 år"	"Menn"	373
"K-3103 Moss"	"50 år"	"Kvinner"	402
"K-3103 Moss"	"51 år"	"Menn"	391
"K-3103 Moss"	"51 år"	"Kvinner"	388
"K-3103 Moss"	"52 år"	"Menn"	363
"K-3103 Moss"	"52 år"	"Kvinner"	373
"K-3103 Moss"	"53 år"	"Menn"	398
"K-3103 Moss"	"53 år"	"Kvinner"	406
"K-3103 Moss"	"54 år"	"Menn"	387
"K-3103 Moss"	"54 år"	"Kvinner"	422
"K-3103 Moss"	"55 år"	"Menn"	362
"K-3103 Moss"	"55 år"	"Kvinner"	411
"K-3103 Moss"	"56 år"	"Menn"	380
"K-3103 Moss"	"56 år"	"Kvinner"	368
"K-3103 Moss"	"57 år"	"Menn"	391
"K-3103 Moss"	"57 år"	"Kvinner"	365
"K-3103 Moss"	"58 år"	"Menn"	355
"K-3103 Moss"	"58 år"	"Kvinner"	406
"K-3103 Moss"	"59 år"	"Menn"	360
"K-3103 Moss"	"59 år"	"Kvinner"	332
"K-3103 Moss"	"60 år"	"Menn"	311
"K-3103 Moss"	"60 år"	"Kvinner"	342
"K-3103 Moss"	"61 år"	"Menn"	329
"K-3103 Moss"	"61 år"	"Kvinner"	305
"K-3103 Moss"	"62 år"	"Menn"	335
"K-3103 Moss"	"62 år"	"Kvinner"	301
"K-3103 Moss"	"63 år"	"Menn"	338
"K-3103 Moss"	"63 år"	"Kvinner"	325
"K-3103 Moss"	"64 år"	"Menn"	305
"K-3103 Moss"	"64 år"	"Kvinner"	310
"K-3103 Moss"	"65 år"	"Menn"	277
"K-3103 Moss"	"65 år"	"Kvinner"	327
"K-3103 Moss"	"66 år"	"Menn"	258
"K-3103 Moss"	"66 år"	"Kvinner"	310
"K-3103 Moss"	"67 år"	"Menn"	293
"K-3103 Moss"	"67 år"	"Kvinner"	303
"K-3103 Moss"	"68 år"	"Menn"	253
"K-3103 Moss"	"68 år"	"Kvinner"	310
"K-3103 Moss"	"69 år"	"Menn"	236
"K-3103 Moss"	"69 år"	"Kvinner"	302
"K-3103 Moss"	"70 år"	"Menn"	257
"K-3103 Moss"	"70 år"	"Kvinner"	294
"K-3103 Moss"	"71 år"	"Menn"	252
"K-3103 Moss"	"71 år"	"Kvinner"	272
"K-3103 Moss"	"72 år"	"Menn"	291
"K-3103 Moss"	"72 år"	"Kvinner"	315
"K-3103 Moss"	"73 år"	"Menn"	235
"K-3103 Moss"	"73 år"	"Kvinner"	283
"K-3103 Moss"	"74 år"	"Menn"	251
"K-3103 Moss"	"74 år"	"Kvinner"	314
"K-3103 Moss"	"75 år"	"Menn"	261
"K-3103 Moss"	"75 år"	"Kvinner"	288
"K-3103 Moss"	"76 år"	"Menn"	261
"K-3103 Moss"	"76 år"	"Kvinner"	309
"K-3103 Moss"	"77 år"	"Menn"	240
"K-3103 Moss"	"77 år"	"Kvinner"	276
"K-3103 Moss"	"78 år"	"Menn"	211
"K-3103 Moss"	"78 år"	"Kvinner"	254
"K-3103 Moss"	"79 år"	"Menn"	168
"K-3103 Moss"	"79 år"	"Kvinner"	206
"K-3103 Moss"	"80 år"	"Menn"	153
"K-3103 Moss"	"80 år"	"Kvinner"	204
"K-3103 Moss"	"81 år"	"Menn"	108
"K-3103 Moss"	"81 år"	"Kvinner"	159
"K-3103 Moss"	"82 år"	"Menn"	117
"K-3103 Moss"	"82 år"	"Kvinner"	160
"K-3103 Moss"	"83 år"	"Menn"	91
"K-3103 Moss"	"83 år"	"Kvinner"	140
"K-3103 Moss"	"84 år"	"Menn"	92
"K-3103 Moss"	"84 år"	"Kvinner"	139
"K-3103 Moss"	"85 år"	"Menn"	105
"K-3103 Moss"	"85 år"	"Kvinner"	119
"K-3103 Moss"	"86 år"	"Menn"	93
"K-3103 Moss"	"86 år"	"Kvinner"	92
"K-3103 Moss"	"87 år"	"Menn"	66
"K-3103 Moss"	"87 år"	"Kvinner"	93
"K-3103 Moss"	"88 år"	"Menn"	41
"K-3103 Moss"	"88 år"	"Kvinner"	76
"K-3103 Moss"	"89 år"	"Menn"	37
"K-3103 Moss"	"89 år"	"Kvinner"	62
"K-3103 Moss"	"90 år"	"Menn"	40
"K-3103 Moss"	"90 år"	"Kvinner"	52
"K-3103 Moss"	"91 år"	"Menn"	34
"K-3103 Moss"	"91 år"	"Kvinner"	55
"K-3103 Moss"	"92 år"	"Menn"	21
"K-3103 Moss"	"92 år"	"Kvinner"	56
"K-3103 Moss"	"93 år"	"Menn"	10
"K-3103 Moss"	"93 år"	"Kvinner"	27
"K-3103 Moss"	"94 år"	"Menn"	17
"K-3103 Moss"	"94 år"	"Kvinner"	25
"K-3103 Moss"	"95 år"	"Menn"	12
"K-3103 Moss"	"95 år"	"Kvinner"	17
"K-3103 Moss"	"96 år"	"Menn"	9
"K-3103 Moss"	"96 år"	"Kvinner"	7
"K-3103 Moss"	"97 år"	"Menn"	6
"K-3103 Moss"	"97 år"	"Kvinner"	17
"K-3103 Moss"	"98 år"	"Menn"	3
"K-3103 Moss"	"98 år"	"Kvinner"	14
"K-3103 Moss"	"99 år"	"Menn"	2
"K-3103 Moss"	"99 år"	"Kvinner"	3
"K-3103 Moss"	"100 år"	"Menn"	1
"K-3103 Moss"	"100 år"	"Kvinner"	8
"K-3103 Moss"	"101 år"	"Menn"	1
"K-3103 Moss"	"101 år"	"Kvinner"	0
"K-3103 Moss"	"102 år"	"Menn"	0
"K-3103 Moss"	"102 år"	"Kvinner"	2
"K-3103 Moss"	"103 år"	"Menn"	0
"K-3103 Moss"	"103 år"	"Kvinner"	1
"K-3103 Moss"	"104 år"	"Menn"	0
"K-3103 Moss"	"104 år"	"Kvinner"	1
"K-3103 Moss"	"105 år eller eldre"	"Menn"	0
"K-3103 Moss"	"105 år eller eldre"	"Kvinner"	0
"K-3105 Sarpsborg"	"0 år"	"Menn"	287
"K-3105 Sarpsborg"	"0 år"	"Kvinner"	275
"K-3105 Sarpsborg"	"1 år"	"Menn"	324
"K-3105 Sarpsborg"	"1 år"	"Kvinner"	285
"K-3105 Sarpsborg"	"2 år"	"Menn"	297
"K-3105 Sarpsborg"	"2 år"	"Kvinner"	262
"K-3105 Sarpsborg"	"3 år"	"Menn"	313
"K-3105 Sarpsborg"	"3 år"	"Kvinner"	281
"K-3105 Sarpsborg"	"4 år"	"Menn"	304
"K-3105 Sarpsborg"	"4 år"	"Kvinner"	293
"K-3105 Sarpsborg"	"5 år"	"Menn"	346
"K-3105 Sarpsborg"	"5 år"	"Kvinner"	298
"K-3105 Sarpsborg"	"6 år"	"Menn"	345
"K-3105 Sarpsborg"	"6 år"	"Kvinner"	310
"K-3105 Sarpsborg"	"7 år"	"Menn"	346
"K-3105 Sarpsborg"	"7 år"	"Kvinner"	335
"K-3105 Sarpsborg"	"8 år"	"Menn"	342
"K-3105 Sarpsborg"	"8 år"	"Kvinner"	325
"K-3105 Sarpsborg"	"9 år"	"Menn"	348
"K-3105 Sarpsborg"	"9 år"	"Kvinner"	325
"K-3105 Sarpsborg"	"10 år"	"Menn"	370
"K-3105 Sarpsborg"	"10 år"	"Kvinner"	348
"K-3105 Sarpsborg"	"11 år"	"Menn"	375
"K-3105 Sarpsborg"	"11 år"	"Kvinner"	332
"K-3105 Sarpsborg"	"12 år"	"Menn"	338
"K-3105 Sarpsborg"	"12 år"	"Kvinner"	359
"K-3105 Sarpsborg"	"13 år"	"Menn"	455
"K-3105 Sarpsborg"	"13 år"	"Kvinner"	389
"K-3105 Sarpsborg"	"14 år"	"Menn"	390
"K-3105 Sarpsborg"	"14 år"	"Kvinner"	356
"K-3105 Sarpsborg"	"15 år"	"Menn"	392
"K-3105 Sarpsborg"	"15 år"	"Kvinner"	358
"K-3105 Sarpsborg"	"16 år"	"Menn"	377
"K-3105 Sarpsborg"	"16 år"	"Kvinner"	337
"K-3105 Sarpsborg"	"17 år"	"Menn"	370
"K-3105 Sarpsborg"	"17 år"	"Kvinner"	341
"K-3105 Sarpsborg"	"18 år"	"Menn"	331
"K-3105 Sarpsborg"	"18 år"	"Kvinner"	354
"K-3105 Sarpsborg"	"19 år"	"Menn"	345
"K-3105 Sarpsborg"	"19 år"	"Kvinner"	368
"K-3105 Sarpsborg"	"20 år"	"Menn"	371
"K-3105 Sarpsborg"	"20 år"	"Kvinner"	335
"K-3105 Sarpsborg"	"21 år"	"Menn"	379
"K-3105 Sarpsborg"	"21 år"	"Kvinner"	301
"K-3105 Sarpsborg"	"22 år"	"Menn"	352
"K-3105 Sarpsborg"	"22 år"	"Kvinner"	296
"K-3105 Sarpsborg"	"23 år"	"Menn"	353
"K-3105 Sarpsborg"	"23 år"	"Kvinner"	342
"K-3105 Sarpsborg"	"24 år"	"Menn"	324
"K-3105 Sarpsborg"	"24 år"	"Kvinner"	319
"K-3105 Sarpsborg"	"25 år"	"Menn"	336
"K-3105 Sarpsborg"	"25 år"	"Kvinner"	350
"K-3105 Sarpsborg"	"26 år"	"Menn"	351
"K-3105 Sarpsborg"	"26 år"	"Kvinner"	371
"K-3105 Sarpsborg"	"27 år"	"Menn"	390
"K-3105 Sarpsborg"	"27 år"	"Kvinner"	371
"K-3105 Sarpsborg"	"28 år"	"Menn"	360
"K-3105 Sarpsborg"	"28 år"	"Kvinner"	339
"K-3105 Sarpsborg"	"29 år"	"Menn"	418
"K-3105 Sarpsborg"	"29 år"	"Kvinner"	362
"K-3105 Sarpsborg"	"30 år"	"Menn"	397
"K-3105 Sarpsborg"	"30 år"	"Kvinner"	391
"K-3105 Sarpsborg"	"31 år"	"Menn"	412
"K-3105 Sarpsborg"	"31 år"	"Kvinner"	393
"K-3105 Sarpsborg"	"32 år"	"Menn"	407
"K-3105 Sarpsborg"	"32 år"	"Kvinner"	419
"K-3105 Sarpsborg"	"33 år"	"Menn"	383
"K-3105 Sarpsborg"	"33 år"	"Kvinner"	381
"K-3105 Sarpsborg"	"34 år"	"Menn"	410
"K-3105 Sarpsborg"	"34 år"	"Kvinner"	400
"K-3105 Sarpsborg"	"35 år"	"Menn"	367
"K-3105 Sarpsborg"	"35 år"	"Kvinner"	341
"K-3105 Sarpsborg"	"36 år"	"Menn"	364
"K-3105 Sarpsborg"	"36 år"	"Kvinner"	361
"K-3105 Sarpsborg"	"37 år"	"Menn"	356
"K-3105 Sarpsborg"	"37 år"	"Kvinner"	386
"K-3105 Sarpsborg"	"38 år"	"Menn"	354
"K-3105 Sarpsborg"	"38 år"	"Kvinner"	356
"K-3105 Sarpsborg"	"39 år"	"Menn"	394
"K-3105 Sarpsborg"	"39 år"	"Kvinner"	379
"K-3105 Sarpsborg"	"40 år"	"Menn"	408
"K-3105 Sarpsborg"	"40 år"	"Kvinner"	348
"K-3105 Sarpsborg"	"41 år"	"Menn"	367
"K-3105 Sarpsborg"	"41 år"	"Kvinner"	381
"K-3105 Sarpsborg"	"42 år"	"Menn"	383
"K-3105 Sarpsborg"	"42 år"	"Kvinner"	393
"K-3105 Sarpsborg"	"43 år"	"Menn"	352
"K-3105 Sarpsborg"	"43 år"	"Kvinner"	366
"K-3105 Sarpsborg"	"44 år"	"Menn"	372
"K-3105 Sarpsborg"	"44 år"	"Kvinner"	392
"K-3105 Sarpsborg"	"45 år"	"Menn"	410
"K-3105 Sarpsborg"	"45 år"	"Kvinner"	348
"K-3105 Sarpsborg"	"46 år"	"Menn"	412
"K-3105 Sarpsborg"	"46 år"	"Kvinner"	397
"K-3105 Sarpsborg"	"47 år"	"Menn"	388
"K-3105 Sarpsborg"	"47 år"	"Kvinner"	403
